x-coordinates,y-coordinates,which spiral
3.066044195,-2.048665234,1
3.349063305,-1.387227442,1
3.494047561,-0.6950092722,1
3.5,-1.29E-15,1
3.371449401,0.6706229819,1
3.118093422,1.291556584,1
2.754243091,1.840326397,1
2.298097039,2.298097039,1
1.770880118,2.650309389,1
1.195885726,2.887123539,1
0.5974641112,3.003654921,1
1.29E-15,3,1
-0.5730778209,2.881056761,1
-1.100214868,2.656153656,1
-1.56254128,2.338508285,1
-1.944543648,1.944543648,1
-2.234574583,1.493095001,1
-2.425183773,1.00454401,1
-2.513262281,0.4999189502,1
-2.5,1.22E-15,1
-2.390664121,-0.4755326599,1
-2.19421389,-0.9088731519,1
-1.922773478,-1.284756164,1
-1.590990258,-1.590990258,1
-1.215309885,-1.818839777,1
-0.8132022938,-1.963244007,1
-0.4023737892,-2.022869641,1
-1.10E-15,-2,1
0.3779874989,-1.900271481,1
0.7175314357,-1.732274123,1
1.006971047,-1.507038672,1
1.237436867,-1.237436867,1
1.403104971,-0.9375247682,1
1.50130424,-0.6218605776,1
1.532477001,-0.3048286282,1
1.5,-9.18E-16,1
1.409878841,0.2804423379,1
1.270334357,0.5261897195,1
1.091303866,0.7291859308,1
0.8838834765,0.8838834765,1
0.6597396517,0.9873701646,1
0.4305188614,1.039364474,1
0.2072834671,1.04208436,1
2.45E-15,1,1
-0.1828971769,0.9194862004,1
-0.3348480033,0.8083945909,1
-0.4514008143,0.67556906,1
-0.5303300859,0.5303300859,1
-0.5716353585,0.3819545352,1
-0.5774247078,0.2391771452,1
-0.5516917202,0.1097383061,1
-0.5,3.67E-16,1
